ID SPK,recency,frequency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass,RFM_Score,RFM_Level
979,1091,1,2625000,4,4,3,443,11,Cannot Loose Them
980,1092,1,4230000,4,4,2,442,10,Cannot Loose Them
981,1088,1,6240000,4,4,1,441,9,Cannot Loose Them
982,1088,1,7750000,4,4,1,441,9,Cannot Loose Them
983,1088,1,2511000,4,4,3,443,11,Cannot Loose Them
984,1092,1,3080000,4,4,3,443,11,Cannot Loose Them
985,1088,1,3213000,4,4,2,442,10,Cannot Loose Them
986,1088,1,2440000,4,4,3,443,11,Cannot Loose Them
987,1089,1,4440000,4,4,2,442,10,Cannot Loose Them
988,1095,1,4950000,4,4,1,441,9,Cannot Loose Them
989,1085,1,2587500,4,4,3,443,11,Cannot Loose Them
990,1091,1,2902500,4,4,3,443,11,Cannot Loose Them
991,956,1,3300000,4,4,2,442,10,Cannot Loose Them
992,1110,1,2620000,4,4,3,443,11,Cannot Loose Them
993,1095,1,3576000,4,4,2,442,10,Cannot Loose Them
994,1084,1,6520000,4,4,1,441,9,Cannot Loose Them
995,1083,1,2350000,4,4,3,443,11,Cannot Loose Them
996,1061,1,9430000,4,4,1,441,9,Cannot Loose Them
997,1083,1,2590000,4,4,3,443,11,Cannot Loose Them
998,1083,1,1450000,4,4,4,444,12,Cannot Loose Them
999,1081,1,2456250,4,4,3,443,11,Cannot Loose Them
1000,1081,1,1650000,4,4,4,444,12,Cannot Loose Them
1001,1088,1,3213000,4,4,2,442,10,Cannot Loose Them
1002,1081,1,2234250,4,4,3,443,11,Cannot Loose Them
1003,1110,1,2100000,4,4,3,443,11,Cannot Loose Them
1004,1077,1,6280000,4,4,1,441,9,Cannot Loose Them
1005,1092,1,5005000,4,4,1,441,9,Cannot Loose Them
1006,1076,1,2349000,4,4,3,443,11,Cannot Loose Them
1007,1045,1,2150000,4,4,3,443,11,Cannot Loose Them
1008,1076,1,1620000,4,4,4,444,12,Cannot Loose Them
1009,1075,1,2950000,4,4,3,443,11,Cannot Loose Them
1010,1075,1,6350000,4,4,1,441,9,Cannot Loose Them
1011,1075,1,2214000,4,4,3,443,11,Cannot Loose Them
1012,1075,1,16800000,4,4,1,441,9,Cannot Loose Them
1013,1075,1,3130000,4,4,2,442,10,Cannot Loose Them
1014,1074,1,4052000,4,4,2,442,10,Cannot Loose Them
1015,1070,1,6625000,4,4,1,441,9,Cannot Loose Them
1016,1070,1,2110000,4,4,3,443,11,Cannot Loose Them
1017,1070,1,2280000,4,4,3,443,11,Cannot Loose Them
1018,1070,1,2655000,4,4,3,443,11,Cannot Loose Them
1019,1070,1,1500000,4,4,4,444,12,Cannot Loose Them
1020,1069,1,25500000,4,4,1,441,9,Cannot Loose Them
1021,1069,1,6500000,4,4,1,441,9,Cannot Loose Them
